"id";"amount";"created";"currency";"description";"fee";"net";"source";"status";"type"
"txn_1JA9NrCmAIcalbBuRvhJ5yUi";-249;"2021-07-06T08:11:58Z";"eur";"Curso Webinar 28990";"-2,988";"-246,012";"ch_1JA9NqCmAIcalbBuk0mvFHbR";"available";"charge"
"txn_1JAFpmCmAIcalbBugZYdxV7B";-229;"2021-07-06T15:05:13Z";"eur";"Curso Webinar 28998";"-2,748";"-226,252";"ch_1JAFplCmAIcalbBuxckGnUiI";"available";"charge"
"txn_1Gs42CCmAIcalbBuFQxuGMeP";-229;"2020-06-09T09:46:19Z";"eur";"Curso Webinar 29003";"-2,748";"-226,252";"ch_1Gs42BCmAIcalbBuASGf47AC";"available";"charge"
"txn_1JA0f7CmAIcalbBuEsIXvXp8";-199;"2021-07-05T22:53:12Z";"eur";"Curso Webinar 29004";"-2,388";"-196,612";"ch_1JA0f6CmAIcalbBufyTnAAU0";"available";"charge"
"txn_1JA0iGCmAIcalbBuNBXFHSSg";-179;"2021-07-05T22:56:27Z";"eur";"Curso Webinar 29031";"-2,148";"-176,852";"ch_1JA0iFCmAIcalbBuC4pWQuCs";"available";"charge"
"txn_1JA0mJCmAIcalbBu3UxHv1lb";-169;"2021-07-05T23:00:38Z";"eur";"Curso Webinar 29086";"-2,028";"-166,972";"ch_1JA0mICmAIcalbBuZeiAxvK7";"available";"charge"
"txn_1JA0NQCmAIcalbBukVwhD5mp";-199;"2021-07-05T22:34:55Z";"eur";"Curso Webinar 29242";"-2,388";"-196,612";"ch_1JA0NPCmAIcalbBuuHTlU6bG";"available";"charge"
"txn_1JA1I3CmAIcalbBuLq9YDciQ";-179;"2021-07-05T23:33:26Z";"eur";"Curso Webinar 29375";"-2,148";"-176,852";"ch_1JA1I2CmAIcalbBus3Q13TC7";"available";"charge"
"txn_1JA03vCmAIcalbBupyNhv7Qv";-199;"2021-07-05T22:14:46Z";"eur";"Curso Webinar 29430";"-2,388";"-196,612";"ch_1JA03uCmAIcalbBu2MF4yTvx";"available";"charge"
"txn_1JA0qbCmAIcalbBuk5hICmey";-199;"2021-07-05T23:05:04Z";"eur";"Curso Webinar 29431";"-2,388";"-196,612";"ch_1JA0qaCmAIcalbBuVOa4mIQm";"available";"charge"
