"numero_de_pedido";"estado_de_pedido";"fecha_de_pedido";"id cliente";"titulo_metodo_de_pago";"importe_de_descuento_del_carrito";"importe_subtotal_carrito";"importe_envio_pedido";"importe_reembolsado_pedido";"importe_total_pedido";"importe_total_de_impuestos_del_pedido";"sku";"articulo_numero";"nombre_del_articulo";"cantidad";"coste_articulo";"cupon_articulo";"importe_descuento";"importe_impuestos_descuento"
28969;"Procesando";"2020-10-01 7:20";2878;"Redsys";30.0;269.0;0;0;269;0.0;"7";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"affiliate-credit-202204241920_1313";"30";"0"
28974;"Completado";"2020-10-01 8:08";3957;"Pagantis";20.0;229.0;0;0;229;0.0;"1";1;"Aprende Python desde cero";1;249.0;"affiliate-credit-202204070840_2532";"20";"0"
28981;"Completado";"2020-10-01 9:35";1182;"Pago con tarjeta";20.0;229.0;0;0;229;0.0;"1";1;"Aprende Python desde cero";1;249.0;"affiliate-credit-202204070840_2532";"20";"0"
28983;"Completado";"2020-10-01 10:03";1168;"Pago con tarjeta";20.0;229.0;0;0;229;0.0;"1";1;"Aprende Python desde cero";1;249.0;"affiliate-credit-202204070840_2532";"20";"0"
28984;"Completado";"2020-10-01 10:24";108;"Pago con tarjeta";30.0;169.0;0;0;169;0.0;"008-2";1;"MYSQL: Analisis de datos avanzado";1;199.0;"affiliate-credit-202204231515_470";"30";"0"
28985;"Completado";"2020-10-01 11:06";649;"Pago con tarjeta";0.0;264.0;0;0;264;0.0;"008-2";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
28986;"Completado";"2020-10-01 11:17";639;"Pago con tarjeta";0.0;154.0;0;0;154;0.0;"1";1;"Aprende Python desde cero";1;249.0;"";"";""
28990;"Completado";"2020-10-01 11:49";643;"Stripe";0.0;249.0;0;0;249;0.0;"1";1;"Aprende Python desde cero";1;249.0;"";"";""
28992;"Completado";"2020-10-01 12:16";651;"Pago con tarjeta";20.0;179.0;0;0;179;0.0;"002-1";1;"Power BI: Como crear dashborads inteligentes";1;199.0;"affiliate-credit-202204131500_2112";"20";"0"
28994;"Completado";"2020-10-01 12:37";111;"Pago con tarjeta";20.0;179.0;0;0;179;0.0;"002-1";1;"Power BI: Como crear dashborads inteligentes";1;199.0;"affiliate-credit-202204131500_2112";"20";"0"
28995;"Completado";"2020-10-01 13:11";3081;"Pago con tarjeta";20.0;129.0;0;0;129;0.0;"2";1;"MYSQL: Administracion de bases de datos";1;149.0;"affiliate-credit-202204091327_2768";"20";"0"
28996;"Completado";"2020-10-01 13:18";1924;"Pago con tarjeta";20.0;179.0;0;0;179;0.0;"002-1";1;"Power BI: Como crear dashborads inteligentes";1;199.0;"affiliate-credit-202204131500_2112";"20";"0"
28997;"Completado";"2020-10-01 13:38";3182;"Pago con tarjeta";20.0;229.0;0;0;229;0.0;"1";1;"Aprende Python desde cero";1;249.0;"affiliate-credit-202204070840_2532";"20";"0"
28998;"Completado";"2020-10-01 13:44";1910;"Stripe";20.0;229.0;0;0;229;0.0;"1";1;"Aprende Python desde cero";1;249.0;"affiliate-credit-202204070840_2532";"20";"0"
28999;"Procesando";"2020-10-01 14:15";1880;"Redsys";30.0;269.0;0;0;269;0.0;"7";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"affiliate-credit-202204241920_1313";"30";"0"
29001;"Completado";"2020-10-01 14:18";1592;"Pago con tarjeta";20.0;229.0;0;0;229;0.0;"1";1;"Aprende Python desde cero";1;249.0;"affiliate-credit-202204070840_2532";"20";"0"
29003;"Completado";"2020-10-01 14:26";1179;"Stripe";20.0;229.0;0;0;229;0.0;"1";1;"Aprende Python desde cero";1;249.0;"affiliate-credit-202204070840_2532";"20";"0"
29004;"Completado";"2020-10-01 14:33";1175;"Stripe";0.0;199.0;0;0;199;0.0;"002-2";1;"Power BI: Como crear dashborads inteligentes";1;199.0;"";"";""
29005;"Completado";"2020-10-01 14:41";4024;"Pago con tarjeta";30.0;169.0;0;0;169;0.0;"008-2";1;"MYSQL: Analisis de datos avanzado";1;199.0;"affiliate-credit-202204231515_470";"30";"0"
29006;"Completado";"2020-10-01 14:55";4052;"Pago con tarjeta";0.0;284.0;0;0;284;0.0;"002-2";1;"Power BI: Como crear dashborads inteligentes";1;199.0;"";"";""
29007;"Completado";"2020-10-01 15:03";2878;"Pago con tarjeta";20.0;229.0;0;0;229;0.0;"1";1;"Aprende Python desde cero";1;249.0;"affiliate-credit-202204070840_2532";"20";"0"
